"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (lbf)","Torque (lbf⋅ft)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.25300205","1000","0","0.001431380443865571","-0.000045362001298341","25.093002301844","-0.028431433141159","0.7134300172558266","0","0","",""
"19.25578665","1993","4924.999999999959","8.09650641101497","0.6177976999292767","23.950935903145","21.561265901537","516.4124975983785","431.99877837261045","83.65381945279375","8.501212770849166","7.111589182624007"
"24.23097235","1946","4793.000000000007","7.615016550532025","0.58373076667898","23.966554041699","19.898284035594","476.89329967614003","397.2372896442475","83.29689050234356","8.695340278447764","7.242948070544809"
"29.23012195","1899","4652.000000000026","7.19938067638983","0.5493163243604196","24.010912253561","18.055668844228","433.5330802981136","362.8208264426932","83.68930606015209","9.000542156175422","7.532491272154661"
"34.23046175","1851","4472.000000000015","6.611658040484717","0.5083384719029745","24.076905097461","16.098883859398","387.61129885777234","322.7637634538512","83.26995740448838","9.291618142387339","7.737126469353651"
"39.23017145","1804","4253.9999999999745","5.914192608355543","0.4511882426239103","24.181327689618","13.531639465725","327.21300809846366","272.5117648430952","83.28268073043478","9.844098449859803","8.198429082786419"
"44.204854","1757","4070.000000000045","5.380055025895669","0.41051806407832286","24.255894963807","11.807768773102","286.4079991172823","237.22293683500396","82.8269243757618","10.287166757503595","8.52054383064601"
"49.18239025","1709","3882.0000000000077","4.864210916007582","0.37291153778679514","24.333768471583","10.165021779034","247.35328647961205","205.53763183414765","83.09476488443138","10.734622841972376","8.919909611767412"
"54.1598162","1662","3688.999999999953","4.438418365504659","0.33782779332499574","24.403708352821","8.7350644110202","213.1679643296431","176.9432616190343","83.00649779880109","11.377843309994773","9.44434925666185"
"59.14752365","1614","3509.000000000037","3.9185110875136173","0.2998587257669765","24.468196003883","7.4166338707632","181.47165123887146","149.39293382097543","82.32301453207656","11.897528789323658","9.794404354192906"
"64.15985655","1567","3299.000000000023","3.526226055293205","0.27111580238038874","24.523859055416","6.3252503048866","155.11954696726607","126.98930435175167","81.8654430305611","12.595306681464887","10.311203615839093"
"69.13762895","1520","3087.0000000000027","3.030383924445407","0.2341429529418392","24.58721688225","5.1922239203205","127.66233563012648","102.62371153919781","80.38683534392433","13.394165984476903","10.76714615563337"
"74.1108999","1472","2858.000000000023","2.570250458848924","0.1999894632884543","24.645567892588","4.1232861465421","101.62072866517087","81.15202029083784","79.85774295933739","14.366198068078118","11.472521526235118"
"79.0860673","1425","2618.0000000000073","2.1184489326449722","0.16734441424954644","24.695895728777","3.2474200666794","80.19794735425252","62.20293251848103","77.56175135470309","15.448022033316645","11.981756438700806"
"84.08410645","1378","2397.999999999961","1.8366366470982036","0.1380698604154218","24.738370575275","2.548511845985","63.04603046145509","47.00868053368872","74.56247473412107","17.721926251239896","13.213906783480313"
"89.08424395","1330","2165.999999999971","1.4124792312422927","0.11156115825099597","24.77762591415","1.9023777929568","47.13640530126989","34.308478900820006","72.7855225309167","18.67438669977457","13.59224993887493"
"94.0829851","1283","1931.9999999999748","1.1171854702383288","0.08793704223989049","24.807789307932","1.3884320382893","34.443929474263534","24.12175893252851","70.0319600600514","21.007871216705233","14.712223979950043"
"99.06186775","1235","1680.0000000000152","0.8119545958973058","0.06522035040996076","24.8349692507","0.95167306293261","23.634771254650854","15.556876582051755","65.82198919733767","23.674187266508326","15.582820985118602"
"104.10306515","1188","1426.9999999999573","0.5498929631994185","0.045804883568406084","24.856427869825","0.63449191392631","15.771202492496538","9.280379871238782","58.84383182356644","26.876836496419457","15.815360467447995"
"109.13860315","1141","1150.000000000012","0.34527409178224056","0.028321177365336337","24.873612522885","0.40546841986811","10.085464366065814","4.624226955654336","45.85041191770307","33.86808110696264","15.528654696164143"
"114.1835821","1093","853.0000000000022","0.19598177144645182","0.015614788761901872","24.887187058772","0.2331898919237","5.803440460519948","1.8911028162383143","32.58589157764676","47.00740510979804","15.317782062543976"
