time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
0.117000,-0.001101,-0.096970,-0.087411,0.130557,-0.096513,0.063935,0.156481,13.225044,-13.705611,12.378673,22.715130
0.345000,0.036011,-0.110737,-0.041321,0.123560,0.078965,0.071565,0.057298,12.187352,-13.386973,11.409307,21.398947
0.480000,-0.004094,-0.049084,-0.080827,0.094652,-0.020218,-0.012360,-0.041886,12.417950,-13.386973,10.633812,21.130415
0.614000,0.006680,-0.112533,-0.096390,0.148322,0.010300,0.086824,0.103075,12.533249,-13.068335,13.154165,22.380701
0.748000,0.018053,-0.114928,-0.071848,0.136735,0.132372,-0.012360,0.003891,12.763847,-11.793781,13.541912,22.031624
0.883000,0.043194,-0.124505,-0.092200,0.160835,-0.111772,0.079194,0.110704,11.956754,-13.386973,11.797052,21.478954
1.017000,0.011469,-0.076020,-0.085017,0.114623,0.010300,-0.035248,-0.041886,13.225044,-11.793781,12.766418,21.839792
1.243000,-0.007686,-0.082006,-0.065863,0.105460,0.002670,-0.035248,-0.011368,12.533249,-14.342889,12.378673,22.716345
1.377000,0.042595,-0.113730,-0.068257,0.139312,-0.043107,-0.042878,0.019150,13.340342,-13.386973,11.409307,22.075960
1.511000,-0.287822,-0.307671,-0.211916,0.471605,0.246815,-0.309911,0.194629,13.455641,-11.156505,12.766418,21.644938
1.645000,0.149143,-0.027535,-0.121531,0.194348,0.162890,-0.164950,1.865492,13.686239,-5.421013,10.052193,17.825462
1.779000,0.217381,-0.158025,-0.515397,0.581257,-0.226215,-0.042878,-1.857709,13.340342,-6.376929,10.633812,18.212849
1.914000,-0.460213,-0.060457,0.102339,0.475315,0.223926,-0.195468,1.346685,12.648548,-5.739652,10.633812,17.493065
2.143000,-1.018090,-1.509621,-1.274996,2.222854,4.221790,-2.110475,7.496070,12.994446,8.599075,6.174726,16.760876
2.277000,-1.091117,-1.717927,2.086634,2.914765,1.009766,7.723964,3.254063,15.761623,14.334565,3.848246,21.649885
2.411000,1.320565,0.608757,-0.007800,1.454145,0.864805,1.551690,1.407721,14.608632,19.432779,3.072753,24.504833
2.546000,0.129389,0.027535,-0.131108,0.186250,-0.096513,-0.210727,-0.057145,14.262734,-15.298803,14.511279,25.456947
2.680000,-0.009481,-0.170596,0.000580,0.170860,-0.096513,-0.546426,-0.194476,12.879147,-15.936080,12.184799,23.839052
