time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
0.117000,-0.242928,0.098167,-0.143678,0.298821,-0.251087,0.310750,0.098497,5.846828,-6.485980,-7.296087,11.379201
0.346000,-0.057966,-0.152040,0.050262,0.170301,-0.106127,0.043717,0.251087,5.342584,-6.372064,-7.769296,11.380174
0.481000,0.039004,0.140667,-0.037131,0.150622,-0.197681,0.013199,0.495232,5.678747,-6.599895,-8.715716,12.319517
0.615000,0.034215,-0.049682,-0.125721,0.139444,-0.273976,0.257343,1.876173,5.846828,-6.713810,-1.617567,9.048601
0.749000,-0.607464,-0.084400,-0.233465,0.656233,-0.502861,0.234455,0.769894,5.006421,-5.688571,-3.037197,8.163862
0.883000,0.320337,0.067640,-0.091003,0.339812,0.313497,0.089494,0.502861,6.182991,-6.713810,-7.296087,11.684927
1.017000,-0.083705,0.002394,-0.101179,0.131337,-0.342641,0.051347,0.243458,6.014910,-6.144233,-3.983617,9.476283
1.241000,-0.107050,-0.048485,-0.079630,0.141956,0.153277,-0.101244,0.373159,5.174502,-6.030317,-0.671147,7.974373
1.375000,0.137769,0.055668,-0.062271,0.161112,-0.182422,-0.116503,0.533379,5.846828,-5.802486,-3.510407,8.954173
1.508000,-0.022052,0.032323,-0.072447,0.082338,0.191424,0.043717,0.296864,5.006421,-5.688571,-3.037197,8.163862
1.642000,0.103052,-0.011373,-0.062271,0.120941,-0.045090,-0.131762,0.335012,6.687236,-6.372064,-3.983617,10.059400
1.776000,0.001892,0.052077,-0.068257,0.085875,0.046464,0.051347,0.472343,6.687236,-5.916401,-2.090777,9.170293
1.910000,0.009075,-0.007183,-0.059877,0.060985,0.069352,-0.147021,0.266346,6.351073,-6.827726,-3.037197,9.807065
2.138000,0.041997,0.016760,-0.057482,0.073136,0.084611,-0.131762,0.212940,6.014910,-6.827726,-5.876457,10.831884
2.272000,0.065341,0.031126,-0.054489,0.090595,-0.083238,-0.024948,0.579156,6.014910,-6.827726,-5.876457,10.831884
2.406000,-0.117825,-0.090386,-0.198747,0.248098,0.237201,-0.528496,0.129015,5.678747,-5.460740,-1.144357,7.960992
2.540000,-0.020256,-0.204116,0.245400,0.319835,1.175631,-1.047303,0.396048,5.846828,-6.485980,-7.296087,11.379201
2.674000,-0.087297,0.007183,-0.280753,0.294100,-0.418936,-0.024948,0.235828,5.678747,-7.055557,-3.983617,9.894355
