time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
7.693000,-0.155535,0.120913,-0.123326,0.232423,-0.135195,0.063477,0.066758,nan,-856.346680,nan,-nan
7.916000,0.001293,-0.028732,-0.076038,0.081296,-0.036011,-0.096742,-0.192645,nan,-856.346680,nan,-nan
8.049000,-0.020854,0.014366,-0.118538,0.121212,0.032654,-0.089113,-0.040055,nan,-856.346680,nan,-nan
8.183000,-0.154937,-0.094576,-0.081426,0.198947,0.063172,0.078736,-0.001907,nan,-856.346680,nan,-nan
8.317000,0.003687,-0.038309,-0.067658,0.077838,-0.089418,0.193179,0.135424,nan,-856.346680,nan,-nan
8.451000,0.003089,-0.028133,-0.076038,0.081135,-0.013123,0.063477,-0.185016,nan,-856.346680,nan,-nan
8.585000,-0.098670,-0.029929,-0.062870,0.120765,0.215763,-0.058595,-0.154498,nan,-856.346680,nan,-nan
8.720000,-0.119620,-0.026936,-0.049701,0.132306,0.055543,-0.005188,-0.024796,nan,-856.346680,nan,-nan
8.944000,0.067736,-0.119118,-0.050299,0.145970,0.192874,-0.211185,0.135424,nan,-856.346680,nan,-nan
9.077000,-0.059164,-0.044894,-0.041321,0.084989,-0.020752,0.162661,-0.162127,nan,-856.346680,nan,-nan
9.211000,0.013863,0.000000,-0.103573,0.104497,-0.051270,0.017700,-0.032425,nan,-856.346680,nan,-nan
9.345000,-0.055572,-0.080808,-0.042518,0.106893,0.047913,-0.028077,-0.047684,nan,-856.346680,nan,-nan
9.479000,-0.077121,0.043098,-0.067658,0.111278,0.063172,-0.028077,-0.131609,nan,-856.346680,nan,-nan
9.613000,0.013265,-0.095174,-0.052095,0.109307,-0.074159,0.071107,0.020981,nan,-856.346680,nan,-nan
9.840000,-0.100466,-0.079611,-0.020969,0.129888,0.055543,0.055848,0.219348,nan,-856.346680,nan,-nan
9.974000,-0.113635,-0.034718,-0.074243,0.140107,-0.242008,0.078736,0.196460,nan,-856.346680,nan,-nan
10.108000,0.037208,0.046689,-0.076038,0.096676,0.040284,0.040589,-0.055314,nan,-856.346680,nan,-nan
10.242000,-0.058565,-0.099364,-0.041321,0.122518,0.154726,-0.150149,-0.146868,nan,-856.346680,nan,-nan
10.376000,-0.051382,-0.046091,-0.021568,0.072316,-0.119936,0.025330,-0.062943,nan,-856.346680,nan,-nan
10.510000,-0.008284,-0.038908,-0.114348,0.121069,0.047913,0.193179,0.074388,nan,-856.346680,nan,-nan
10.735000,0.005483,-0.004190,-0.098784,0.099025,0.009766,0.048218,0.066758,nan,-856.346680,nan,-nan
10.868000,0.057560,-0.096970,-0.069454,0.132439,-0.005493,-0.134890,-0.345235,nan,-856.346680,nan,-nan
11.002000,0.000096,-0.064048,-0.108960,0.126390,0.032654,0.277104,0.242237,nan,-856.346680,nan,-nan
11.136000,-0.169303,0.016162,-0.076038,0.186296,0.063172,-0.157778,-0.322347,nan,-856.346680,nan,-nan
11.270000,-0.074128,-0.068238,-0.046109,0.110804,0.025025,-0.020447,0.173571,nan,-856.346680,nan,-nan
11.404000,-0.164514,-0.030528,-0.058081,0.177116,0.032654,0.002441,0.005722,nan,-856.346680,nan,-nan
11.628000,-0.053178,0.025739,-0.118538,0.132445,-0.020752,0.048218,-0.024796,nan,-856.346680,nan,-nan
11.762000,-0.053178,-0.115526,-0.069454,0.144907,0.093690,-0.150149,-0.192645,nan,-856.346680,nan,-nan
