time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
0.117000,-0.057966,1.060685,-0.003012,1.062272,0.084154,-0.002899,-0.028458,-13.767815,-15.609912,15.208056,25.778034
0.343000,-0.078917,0.947554,-0.064665,0.953031,-0.137102,-0.048676,-1.104219,-3.158677,-17.106005,16.947155,24.285772
0.478000,-0.030432,1.079840,-0.019173,1.080439,-0.190509,0.019989,0.047837,7.450460,-16.892279,16.367456,24.672901
0.612000,-0.041206,1.025968,-0.059278,1.028505,-0.037919,-0.048676,-0.074235,11.428887,-16.144232,16.512381,25.766537
0.746000,-0.072332,1.071460,0.023326,1.074152,0.068894,0.157321,-0.013199,8.776603,-16.999142,18.251478,26.440802
0.880000,-0.051981,1.028961,0.051459,1.031557,0.076524,0.256504,0.002060,4.798176,-17.319733,17.237005,24.902008
1.014000,-0.042403,1.030158,0.055051,1.032499,0.213855,0.019989,0.009689,-1.832535,-17.640326,16.802231,24.430601
1.237000,-0.052579,1.051108,-0.058680,1.054057,0.000229,0.035248,-0.058976,-4.484819,-17.426598,15.642832,23.843199
1.371000,-0.098071,1.028362,-0.028750,1.033428,-0.114214,-0.079194,-0.120012,-7.137104,-16.357960,16.802231,24.511957
1.504000,-0.083107,1.006214,-0.011392,1.009705,-0.022660,0.004730,0.040208,0.819749,-15.716776,16.802231,23.021814
1.638000,-0.105254,1.058890,-0.014385,1.064205,-0.007401,0.027619,0.032578,6.124318,-15.930504,17.381929,24.360207
1.772000,-0.071135,1.084629,-0.128714,1.094553,-0.083696,-0.056306,-0.051347,8.776603,-16.785416,15.932681,24.751348
1.906000,-0.023249,1.112163,-0.143079,1.121570,-0.266804,-0.086824,0.055467,7.450460,-16.892279,16.947155,25.061214
2.134000,-0.036418,1.122339,-0.087411,1.126327,-0.098955,0.065766,0.024949,2.145892,-15.609912,16.077606,22.511412
2.268000,-0.051981,1.031355,-0.064665,1.034687,-0.159991,-0.292821,-0.158160,6.124318,-16.357960,15.932681,23.641920
2.402000,-0.098071,1.043925,0.055051,1.049966,0.053635,0.073396,0.085985,3.472034,-16.785416,16.802231,24.002504
2.536000,0.014462,1.131917,-0.059278,1.133560,-0.121843,-0.102083,0.101244,4.798176,-16.037367,16.947155,23.820700
2.670000,-0.062157,1.056495,-0.110756,1.064102,-0.152361,0.050507,-0.074235,8.776603,-15.930504,17.092079,24.958944
2.803000,-0.091487,1.064875,0.056847,1.070309,0.068894,0.180209,-0.097124,10.102745,-16.037367,16.657305,25.233479
3.030000,-0.090888,1.029559,-0.111953,1.039609,-0.282063,-0.254673,-0.028458,6.124318,-16.357960,17.092079,24.438276
3.164000,-0.116627,1.037939,0.085578,1.047971,-0.022660,0.058137,0.223316,0.819749,-15.930504,15.932681,22.545582
