time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
0.117000,0.033018,-0.102357,-0.059877,0.123095,-0.593500,-0.041047,-1.035248,5.481802,-5.961806,-9.277626,12.315341
0.362000,0.034814,-0.234644,-0.033539,0.239572,-1.287785,-0.208896,-1.096284,5.665885,-5.852022,-4.507218,9.309319
0.498000,0.022842,-0.356754,-0.065863,0.363501,5.342260,0.454871,0.322805,5.113637,-5.742238,-2.338850,8.036964
0.631000,0.054567,-0.442351,-0.054489,0.449023,5.479591,0.500648,-0.569848,4.193223,-3.875909,-5.374565,7.841667
0.765000,0.049778,-0.516575,-0.055687,0.521947,1.413062,0.103914,-0.859769,4.561389,-4.973750,-0.170483,6.750816
0.899000,0.056362,-0.453724,-0.072447,0.462916,-7.589761,-0.536965,-1.088655,5.665885,-5.193317,-1.037830,7.755636
1.034000,0.070728,-0.329818,-0.068257,0.344153,-4.850767,-0.422522,-1.019989,5.849967,-4.863966,-4.940892,9.071531
1.257000,0.040201,-0.267566,-0.060475,0.277245,0.009232,0.058137,-1.035248,5.113637,-4.424829,-0.604156,6.789213
1.392000,0.056362,-0.347177,-0.071848,0.358986,0.680629,0.119173,-1.073396,5.849967,-5.303102,-3.206198,8.522013
1.526000,0.043792,-0.331614,-0.093996,0.347449,-1.333562,-0.033417,-1.195468,3.825058,-4.973750,-1.905177,6.557359
1.660000,0.045588,-0.250207,-0.058081,0.260874,-4.667658,-0.674296,-1.126802,4.561389,-5.412886,-3.639871,7.959539
1.794000,0.010870,-0.186159,-0.064665,0.197370,-2.165179,-0.407263,-1.195468,5.297719,-5.852022,-4.507218,9.089939
1.928000,0.028229,-0.190947,-0.116742,0.225580,-1.783703,-0.407263,-1.172579,4.561389,-6.510726,-3.639871,8.743254
2.152000,0.046785,-0.174187,-0.088010,0.200688,-0.402762,-0.056306,-1.256504,4.745472,-6.181374,-8.410279,11.465674
2.286000,0.049778,-0.164610,-0.096390,0.197143,-1.158083,-0.216526,-1.187838,8.611207,-6.510726,-1.905177,10.962305
2.420000,0.055165,-0.120315,-0.084419,0.156988,-1.089418,-0.186008,-0.714809,8.611207,-6.510726,-1.905177,10.962305
2.554000,0.061750,-0.157427,-0.098784,0.195843,-0.730831,-0.063935,-1.164950,4.745472,-5.522670,-4.940892,8.799534
2.688000,0.020448,-0.149047,-0.052095,0.159207,-2.058366,-0.498817,-1.119173,5.113637,-5.961806,-4.073545,8.847948
2.822000,0.021046,-0.098766,-0.065264,0.120237,-1.997330,-0.468299,-1.180209,6.402215,-5.193317,-3.639871,9.011524
2.957000,0.024039,-0.114329,-0.063468,0.132956,-0.791867,-0.132601,-1.096284,5.665885,-6.291158,-4.507218,9.591451
3.181000,0.043194,-0.101160,-0.109559,0.155249,-0.746090,-0.124971,-1.210727,7.322628,-6.620510,-4.073545,10.679223
3.315000,0.021046,-0.103555,-0.083221,0.134508,-0.799496,-0.109712,-1.203097,4.377306,-5.522670,-4.940892,8.606573
3.450000,0.012666,-0.121512,-0.058081,0.135274,-0.822385,-0.186008,-1.203097,5.481802,-6.620510,-2.338850,8.907948
3.584000,-0.004693,-0.112533,-0.079630,0.137937,-0.822385,-0.117342,-1.172579,4.745472,-6.400942,-1.471503,8.102894
3.718000,-0.001700,-0.112533,-0.064665,0.129801,-0.822385,-0.132601,-1.210727,4.745472,-6.181374,-8.410279,11.465674
3.852000,-0.005890,-0.108343,-0.063468,0.125703,-0.837644,-0.147860,-1.172579,4.745472,-6.620510,-5.808239,10.004313
4.079000,0.006082,-0.109540,-0.073045,0.131802,-0.845273,-0.071565,-1.187838,4.193223,-6.730294,-8.843953,11.878363
4.213000,0.009673,-0.103555,-0.086214,0.135093,-0.730831,-0.117342,-1.180209,6.586298,-6.620510,-3.206198,9.873712
4.347000,0.004286,-0.119716,-0.066461,0.136994,-0.776608,-0.193637,-1.203097,4.377306,-6.400942,-5.808239,9.688576
4.481000,-0.006489,-0.094576,-0.085017,0.127337,-0.776608,-0.117342,-1.149691,5.297719,-6.730294,-8.843953,12.311710
4.615000,0.006082,-0.109540,-0.061672,0.125855,-0.822385,-0.170749,-1.187838,5.481802,-6.181374,-6.675585,10.621816
4.749000,0.006680,-0.121512,-0.076637,0.143816,-0.746090,-0.147860,-1.241245,6.770380,-6.071589,-1.905177,9.291499
4.976000,0.007279,-0.112533,-0.076637,0.136345,-0.761349,-0.124971,-1.218356,7.322628,-7.498782,-0.604156,10.498459
5.110000,0.015060,-0.111935,-0.095193,0.147709,-0.723201,-0.201267,-1.172579,6.034050,-7.169430,-3.639871,10.052817
5.244000,0.031821,-0.119716,-0.113749,0.168177,-0.776608,-0.056306,-1.317540,6.402215,-6.291158,-4.507218,10.044005
5.378000,0.017455,-0.108942,-0.081426,0.137124,-0.883421,-0.132601,-1.210727,5.481802,-6.620510,-1.471503,8.720472
5.512000,0.025236,-0.113132,-0.071848,0.136374,-0.814755,-0.117342,-1.256504,7.138546,-6.510726,-1.037830,9.717278
5.646000,0.013863,-0.103555,-0.076637,0.129572,-0.814755,-0.086824,-1.180209,5.113637,-5.961806,-4.073545,8.847948
5.870000,0.023441,-0.095174,-0.052095,0.111002,-0.799496,-0.102083,-1.248875,6.586298,-5.742238,-3.206198,9.307649
6.004000,0.155128,-0.127498,-0.314872,0.373450,-1.028382,-0.041047,-1.454871,5.665885,-6.949862,-3.639871,9.677369
6.138000,0.061750,-0.044295,0.016143,0.077690,-0.891051,0.096284,-1.409094,5.297719,-6.510726,-2.772524,8.839812
6.272000,0.337097,-0.222074,-0.001814,0.403676,-0.700313,0.302281,-2.034714,6.218132,-5.742238,-5.808239,10.265189
6.406000,0.089883,0.017957,-0.171213,0.194204,-0.929198,-0.033417,-1.409094,5.481802,-5.742238,-6.675585,10.372410
6.540000,0.003089,-0.174786,-0.056285,0.183651,-0.517205,-0.239414,-1.615091,3.825058,-5.852022,-9.711300,11.966060
6.766000,-0.050784,-0.101160,-0.074841,0.135697,-1.005493,-0.079194,-1.546425,4.193223,-5.852022,-6.241912,9.528418
6.900000,0.062348,-0.263376,-0.579445,0.639539,-1.242008,0.027619,-2.240711,4.745472,-6.400942,-4.940892,9.375712
7.034000,-0.682286,0.059858,-0.455539,0.822565,-1.325933,-0.056306,-1.065766,3.456893,-5.852022,-4.507218,8.155445
