time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
7.168000,-0.218985,-0.301685,-0.016180,0.373135,-0.494316,-0.178378,-1.019989,4.745472,-5.522670,-4.073545,8.343450
7.302000,-0.133986,-0.026338,-0.098186,0.168186,-1.158083,0.096284,-0.646143,4.193223,-6.730294,-3.639871,8.725173
7.436000,0.037806,-0.107146,-0.070651,0.133795,-0.486686,-0.193637,-1.271763,4.929554,-5.852022,-5.374565,9.350540
7.662000,0.058158,-0.007183,0.144239,0.155689,-0.585870,-0.239414,-1.225986,4.929554,-6.071589,-6.241912,10.006307
7.797000,0.022842,-0.214891,0.062234,0.224884,-0.761349,-0.132601,-0.905547,5.481802,-5.742238,-4.940892,9.350715
7.931000,-0.001101,-0.031725,-0.004209,0.032022,-0.860532,-0.140230,-1.126802,6.034050,-5.852022,-4.507218,9.537868
8.065000,-0.073530,-0.275347,0.113113,0.306622,-0.807126,0.225986,-0.981842,5.113637,-6.181374,-7.542933,11.011561
8.200000,0.025835,-0.022746,-0.177797,0.181098,-0.784237,-1.009995,-1.271763,6.402215,-6.071589,-2.772524,9.248755
8.334000,-0.306976,4.892202,-0.070651,4.902333,-1.913405,-0.704814,39.332493,6.954463,-6.620510,-4.073545,10.430220
8.561000,0.261676,-0.228658,-0.410047,0.537491,0.100786,0.775311,-62.323105,4.929554,-3.656341,-10.578647,12.230172
8.696000,-0.530247,0.096372,-0.085616,0.545691,-0.318837,0.149691,-64.138931,7.322628,-3.326989,-4.073545,9.015737
8.830000,0.686070,-0.550096,-0.329238,0.938986,-0.364614,-0.254673,-33.506447,7.690794,-2.668285,-6.675585,10.527654
8.964000,0.308365,-0.098167,-0.011990,0.323836,-0.387503,-0.102083,-23.252384,6.770380,-1.680229,-8.843953,11.263957
9.098000,0.386181,-0.064647,-0.111953,0.407245,-2.813687,-0.681926,-13.807049,9.715703,-0.143253,-6.241912,11.548891
9.232000,-0.651160,-0.556680,-0.122728,0.865427,-2.210956,-0.514076,-9.801557,8.243042,-1.680229,-1.905177,8.625579
9.458000,-0.026840,0.200525,-0.213113,0.293850,-1.295415,-0.140230,5.854200,7.138546,-0.362821,-6.241912,9.489570
9.592000,0.629204,0.155032,-0.151460,0.665487,-0.501945,-0.292821,-2.103380,8.243042,0.295883,-6.241912,10.343924
9.726000,0.141361,0.082604,0.103536,0.193716,-0.616388,-0.124971,-0.958953,8.058959,-2.229149,-5.808239,10.180941
9.860000,0.098862,-0.038908,-0.292126,0.310846,-2.004959,-0.384375,11.469520,8.795290,-1.350877,-5.808239,10.626270
9.994000,-0.122613,-0.014965,0.243604,0.273131,1.153658,0.180209,19.823833,5.849967,-0.033469,-11.012321,12.469741
10.128000,0.043194,-0.171793,-0.063468,0.188167,-0.936828,-0.254673,-0.768215,6.034050,-0.801957,-9.711300,11.461337
10.354000,0.150938,-0.032323,-0.043715,0.160431,-0.685054,-0.056306,1.612192,8.243042,-1.460661,-7.976606,11.563196
10.489000,0.182064,0.024542,0.197513,0.269743,-0.761349,0.294652,-0.852140,9.163454,-2.448717,-7.542933,12.118619
10.623000,0.028229,0.089189,-0.187973,0.209965,0.032120,-0.437781,13.018310,10.636116,-1.131309,-9.277626,14.159138
10.757000,0.222169,0.023345,0.289695,0.365824,-0.883421,0.248875,0.757687,9.163454,-2.009581,-11.012321,14.466462
10.891000,0.398751,-0.186159,0.122092,0.456688,0.108415,-1.055772,-2.782406,8.979372,-0.582389,-12.313341,15.250793
11.025000,-0.596091,-0.504005,-1.103802,1.351933,-0.616388,-0.712444,-1.393835,6.586298,0.405667,-10.144974,12.102247
11.252000,0.593290,0.096372,-0.343005,0.692050,-0.845273,-0.506447,-2.851072,6.954463,-0.253037,-13.614362,15.289847
11.386000,-0.411728,-0.412422,0.390256,0.701364,0.581445,-0.796368,-1.035248,10.452034,-1.899797,-8.843953,13.822798
11.520000,-0.201027,-0.201123,0.362721,0.460901,-0.631647,0.271763,0.528801,8.427124,-1.350877,-6.675585,10.835346
11.654000,0.502305,-0.001197,0.437544,0.666151,-0.746090,-0.163119,-1.561684,8.795290,-1.570445,-9.277626,12.880131
11.788000,-0.024446,-0.082006,-0.444764,0.452921,-1.615854,0.752422,-2.790035,7.690794,-1.350877,-10.144974,12.802096
11.922000,-0.302786,-0.129293,-0.143079,0.358982,-0.944457,-0.094453,-0.134966,6.034050,-0.143253,-13.180688,14.496924
12.056000,0.362836,0.155032,0.316631,0.505905,-1.165713,0.660868,-0.546960,6.402215,-0.582389,-14.915382,16.241804
12.286000,-0.301589,0.010774,-0.193959,0.358737,-1.333562,0.241245,0.261769,8.795290,-1.350877,-10.144974,13.494535
12.420000,0.361040,-0.080808,0.415397,0.556268,-0.021286,-0.254673,-0.302815,8.979372,-2.119365,-11.445993,14.701415
12.554000,0.368223,-0.006584,0.190330,0.414557,-0.662165,-0.247044,-2.950255,6.770380,-0.801957,-14.915382,16.399691
12.688000,-0.519472,-0.378902,0.530923,0.833845,0.512779,-0.338598,-0.897917,8.427124,-1.790013,-10.144974,13.309435
12.822000,-0.071734,-0.293903,0.122092,0.326238,-0.387503,-0.376745,-0.455405,8.795290,-2.887853,-5.808239,10.928515
12.975000,0.238930,-0.081407,0.333990,0.418645,-0.814755,0.416724,-2.416190,8.243042,-2.558501,-6.241912,10.651532
13.220000,-0.017263,-0.135279,-0.029948,0.139626,-1.058900,-0.025788,-1.218356,8.058959,-0.692173,-10.144974,12.974838
13.354000,-0.751123,-0.571645,-0.400469,1.025348,-0.181506,-1.269398,-0.875028,7.874876,-0.582389,-9.711300,12.516478
13.488000,-0.190253,-0.046689,0.083184,0.212828,-1.379339,0.660868,0.032883,7.322628,-0.911741,-13.614362,15.485574
13.622000,0.558572,0.220876,0.802678,1.002537,-1.066529,0.714275,-0.730068,8.795290,-1.350877,-10.144974,13.494535
13.756000,0.390969,-0.026936,0.645850,0.755450,-1.203860,1.080491,-3.087587,8.243042,-1.241093,-12.313341,14.869647
13.890000,-0.235745,0.094576,-0.067060,0.262711,0.032120,-0.361486,-0.669032,8.058959,-1.350877,-6.675585,10.551546
14.117000,0.593888,0.010774,0.457297,0.749627,-0.730831,0.210727,-2.942626,7.506711,-0.143253,-7.109259,10.339865
14.251000,-0.233351,0.065844,-0.246634,0.345856,-1.547188,0.462501,-0.661402,7.506711,-1.680229,-7.109259,10.474515
14.385000,0.121608,0.072428,0.030509,0.144793,-0.181506,-0.567483,0.170214,6.954463,-1.350877,-11.012321,13.094297
14.519000,0.374209,0.014366,0.358531,0.518443,-0.418021,-0.369116,-1.981308,8.058959,-2.229149,-10.144974,13.146727
14.653000,-0.227365,-0.307671,0.441734,0.584367,0.802701,-1.383841,-1.264134,7.506711,0.076315,-7.976606,10.953665
14.787000,-0.497923,-0.337600,0.209485,0.637013,-0.646906,0.271763,-0.005264,7.138546,-1.021525,-14.048035,15.790809
15.013000,-0.144761,0.048485,-0.025758,0.154822,-0.120470,-0.208896,-0.920806,7.138546,-0.801957,-11.445993,13.513429
15.147000,-0.191450,-0.232249,-0.175403,0.348366,-0.189136,-0.941329,0.254139,8.795290,-0.472605,-11.012321,14.101478
15.281000,0.343083,0.054471,0.165190,0.384656,-1.470893,0.554055,-1.515907,7.690794,-1.131309,-13.614362,15.677341
15.415000,-0.678096,-0.580025,-0.508214,1.026901,-0.273060,-1.368582,-1.706645,7.138546,-0.582389,-12.313341,14.244872
15.551000,-0.508099,-0.244221,-0.538741,0.779776,-1.692149,0.531166,-0.165484,7.690794,-1.131309,-8.410279,11.452553
15.685000,0.591494,0.222074,0.678174,0.926877,-0.402762,0.348058,-0.127336,8.611207,-1.680229,-8.843953,12.457590
15.909000,-0.452431,-0.280136,0.324412,0.623228,-0.501945,0.225986,0.338064,8.611207,-1.680229,-12.313341,15.119339
16.042999,0.367625,0.155032,-0.940389,1.021526,-2.500877,0.767681,-1.035248,8.243042,-0.801957,-10.578647,13.434978
16.177000,0.636986,0.055069,0.691941,0.942107,-0.707942,0.195468,-2.950255,8.243042,-2.338933,-10.578647,13.613453
16.311001,-0.282434,0.024542,-0.384308,0.477560,-1.501411,0.386206,-0.493553,8.795290,-1.350877,-12.747015,15.545687
16.445000,0.170093,-0.008380,-0.008399,0.170506,-0.212024,-0.758221,0.322805,9.347537,-1.680229,-11.445993,14.873143
16.579000,0.551389,0.071231,0.335785,0.649504,-0.387503,-0.376745,-2.034714,8.427124,-1.570445,-9.277626,12.631590
16.805000,0.581318,0.197532,0.815847,1.021056,-0.990234,0.576944,-0.287556,6.218132,-0.692173,-10.144974,11.919093
16.938999,0.604663,0.133484,-1.073873,1.239612,-0.616388,-1.658503,-2.721370,7.874876,-1.899797,-9.711300,12.646432
17.073000,-0.195640,-0.026338,0.893064,0.914621,0.184710,0.279393,-0.890288,7.874876,-0.362821,-14.915382,16.870506
17.207001,-0.138176,-0.110737,-1.146301,1.159897,-0.471427,-0.887923,0.750057,7.322628,-0.253037,-14.481708,16.229750
17.341000,0.443046,0.044894,0.183147,0.481506,-1.158083,0.660868,-1.599832,9.163454,-0.253037,-11.012321,14.328438
17.475000,0.190445,-0.084400,0.108923,0.235068,-1.684520,1.454337,-3.156252,7.690794,-0.911741,-12.747015,14.915294
17.698000,0.510087,0.074823,-0.780568,0.935454,-0.456168,-1.315175,-2.507744,9.715703,-1.899797,-12.313341,15.799446
17.832001,-0.392573,-0.571645,0.081388,0.698223,0.665370,-0.735332,-1.149691,8.427124,-1.790013,-10.144974,13.309435
17.966000,-0.269864,-0.186159,0.448319,0.555402,-0.250172,-0.346227,0.849241,7.874876,-1.460661,-10.578647,13.268571
18.101000,0.356252,0.062252,-0.501629,0.618403,-2.271992,0.691386,-0.989471,9.531620,-0.472605,-11.012321,14.572108
18.235001,0.636387,-0.097569,0.925388,1.127320,-1.188601,0.599832,-3.415656,8.795290,-1.790013,-10.144974,13.545544
18.368999,-0.427889,-0.009577,-0.930812,1.024496,-1.768444,0.294652,-0.279927,8.427124,-0.911741,-10.144974,13.219992
18.593000,-0.380003,-0.326227,0.186739,0.534507,0.169451,-1.841611,-1.622720,7.322628,-0.472605,-13.614362,15.465933
18.726999,-0.727180,-0.332212,0.553070,0.972133,-0.486686,-0.124971,0.872129,7.874876,-1.241093,-9.711300,12.564368
18.861000,0.792018,0.288516,-0.351386,0.913240,-1.776074,0.508278,-0.463035,8.611207,-0.801957,-9.711300,13.004052
18.995001,0.730365,0.147251,-0.760216,1.064445,-0.830014,-0.948959,-3.636911,7.874876,-0.582389,-14.915382,16.876656
19.129000,-0.247717,0.225066,-0.322654,0.464891,-0.852903,0.782940,-0.463035,8.795290,-0.911741,-11.012321,14.123017
19.263000,0.116819,0.154434,0.036495,0.197049,-0.257801,-0.346227,1.085756,7.690794,-0.911741,-9.277626,12.085278
19.489000,-0.960028,-0.318445,-0.903876,1.356485,-1.615854,-0.155490,0.780575,6.770380,-0.582389,-10.578647,12.573185
19.622999,0.645965,0.198130,-0.918840,1.140523,-1.341192,-0.308080,0.162585,6.954463,-0.911741,-10.144974,12.333545
19.757000,0.902157,0.310663,0.245998,0.985350,-0.753719,-0.536965,-3.713206,6.770380,-1.021525,-8.843953,11.184680
19.891001,-0.555387,-0.139469,-0.711133,0.913026,-1.394598,-0.720073,-0.646143,8.611207,-1.021525,-8.843953,12.385956
20.025000,0.148544,0.076618,-0.909263,0.924497,-1.043641,-0.285191,0.246510,6.218132,-1.350877,-11.879668,13.476519
20.159000,0.703428,0.181969,-0.705746,1.012917,-1.135195,-1.338064,-3.163882,6.586298,-0.253037,-8.410279,10.685324
20.384001,0.489735,-0.068238,0.020932,0.494909,-1.631113,0.752422,-1.172579,6.954463,-0.692173,-10.144974,12.319259
20.518000,0.426884,-0.080210,1.140278,1.220204,-1.341192,1.172045,-3.591134,8.058959,-0.472605,-11.879668,14.363032
20.652000,-0.488346,-0.252003,0.890670,1.046556,0.222858,0.264134,-1.004730,8.243042,-1.241093,-14.915382,17.086740
20.785999,0.344280,0.134082,0.185541,0.413440,-0.730831,-0.140230,0.421988,7.138546,0.295883,-14.048035,15.760509
20.920000,0.654345,0.181969,-0.415434,0.796156,-0.715572,-0.941329,-2.889219,7.138546,0.295883,-14.048035,15.760509
21.054001,-0.775066,-0.861957,0.156810,1.169738,-0.570611,-0.987106,-2.751888,6.770380,-0.143253,-13.180688,14.818540
21.283001,0.823743,0.082006,-0.860179,1.193812,-0.990234,-0.979477,-3.583505,7.690794,-0.911741,-7.542933,10.810893
21.417000,-0.399756,-0.372317,1.232460,1.348103,0.550927,-1.429618,-1.546425,7.506711,-0.582389,-12.313341,14.432888
21.551001,0.137171,0.158624,-0.012589,0.210085,-0.219654,-0.338598,1.001831,8.058959,-0.911741,-12.747015,15.108424
21.684999,0.780047,0.119716,0.560852,0.968173,-0.517205,0.302281,-2.072862,8.427124,-2.009581,-10.144974,13.340739
21.819000,0.028828,0.032323,-0.283147,0.286441,-1.257267,0.981308,-3.560616,7.874876,-0.582389,-12.313341,14.627755
21.952999,-0.423101,0.106547,-0.557896,0.708248,-1.219120,0.775311,-0.325704,9.715703,-1.241093,-8.843953,13.196617
22.087000,0.815962,0.336402,-0.799723,1.191015,-1.776074,0.431983,-0.241779,7.874876,-1.899797,-8.843953,11.993265
22.312000,0.359843,0.007782,-0.213712,0.418593,-1.180972,-0.636149,-1.889753,6.402215,-3.436773,-7.109259,10.165694
22.445999,-0.017862,-0.018556,-0.148467,0.150684,-0.715572,-0.262303,-1.775311,8.795290,-3.766125,-3.206198,10.090615
22.580000,-0.096874,-0.074224,-0.125721,0.175213,-0.578241,-0.216526,-0.890288,7.690794,-3.546557,-4.073545,9.397880
22.714001,0.147945,-0.084400,0.012552,0.170788,-0.814755,-0.361486,-1.378576,7.690794,-4.424829,-3.206198,9.434359
22.848000,0.032419,-0.000599,-0.054489,0.063407,-0.730831,-0.063935,-1.065766,8.427124,-3.766125,-4.073545,10.089295
22.982000,0.056961,-0.111336,-0.003610,0.125113,-0.738460,-0.231785,-1.454871,9.347537,-4.095477,-1.905177,10.381671
23.207001,0.036609,-0.094576,-0.063468,0.119637,-0.715572,-0.247044,-1.477760,7.138546,-4.315045,-1.037830,8.405685
23.341999,0.063545,-0.079611,-0.053292,0.114961,-0.944457,-0.079194,-1.050507,6.586298,-3.766125,-4.940892,9.054029
23.476000,-0.013073,-0.070034,-0.095193,0.118901,-0.730831,-0.086824,-1.370947,8.427124,-4.424829,-4.073545,10.353227
23.610001,0.097665,-0.069435,-0.063468,0.135602,-0.883421,-0.109712,-1.149691,7.322628,-4.205261,-4.073545,9.375440
23.743999,-0.016066,-0.050281,-0.087411,0.102113,-0.738460,-0.079194,-1.256504,8.243042,-3.875909,-5.374565,10.576217
23.878000,0.065940,-0.086794,-0.069454,0.129248,-0.822385,-0.178378,-1.309911,6.402215,-4.534613,-2.772524,8.320935
24.100000,0.084496,-0.110737,-0.053891,0.149354,-0.768978,-0.155490,-1.309911,10.083868,-3.656341,-1.905177,10.894169
24.233999,0.031222,-0.058062,-0.100580,0.120260,-0.814755,-0.071565,-1.119173,8.243042,-4.315045,-1.905177,9.497213
24.368999,0.025835,-0.089189,-0.096989,0.134272,-0.822385,-0.239414,-1.340429,7.874876,-3.656341,-2.772524,9.114242
24.503000,0.080306,-0.076618,-0.139488,0.178259,-0.883421,-0.247044,-1.241245,8.611207,-4.534613,-1.037830,9.787374
24.636999,-0.074128,-0.119118,-0.105369,0.175461,-0.585870,0.042878,-0.920806,8.611207,-4.095477,-4.507218,10.547077
24.771000,-0.113635,0.004789,-0.061074,0.129096,-1.135195,-0.247044,-1.317540,8.611207,-4.973750,-2.772524,10.323661
24.996000,0.204811,-0.305276,0.089170,0.378275,-1.028382,-0.300450,-1.760052,7.322628,-3.766125,-5.808239,10.076716
25.129999,0.095869,0.149047,-0.086813,0.197338,-0.860532,0.256504,-0.936065,7.322628,-4.205261,-2.338850,8.762154
25.264000,-0.035220,-0.320241,-0.004807,0.322208,-0.494316,-0.384375,-1.699016,9.899785,-4.424829,-4.073545,11.583549
25.398001,0.075517,0.055668,-0.161635,0.186890,-1.158083,0.126802,-0.798733,9.163454,-3.766125,-4.073545,10.711972
25.532000,-0.108846,-0.151441,-0.072447,0.200076,-0.509575,-0.170749,-1.645609,7.138546,-4.095477,-0.170483,8.231697
25.666000,0.135974,-0.094576,-0.040124,0.170421,-1.158083,-0.117342,-0.813992,9.347537,-4.534613,-4.507218,11.324936
25.889999,0.169494,-0.212496,-0.027553,0.273207,-0.730831,-0.063935,-1.111543,6.770380,-4.315045,-4.507218,9.207208
26.024000,-0.109444,0.007782,-0.104770,0.151708,-0.891051,-0.186008,-1.302281,8.611207,-5.193317,-1.037830,10.109427
26.158001,0.111432,-0.172391,-0.011990,0.205620,-0.631647,-0.124971,-1.355688,7.506711,-4.315045,-1.905177,8.865665
26.292000,-0.063952,-0.020352,-0.116742,0.134658,-1.020752,-0.086824,-1.042878,7.690794,-4.424829,-4.073545,9.763257
26.426001,0.027032,-0.123308,-0.073644,0.146147,-0.570611,-0.170749,-1.477760,8.795290,-3.985693,0.263191,9.659822
26.561001,0.012666,-0.076020,-0.073644,0.106597,-0.997864,-0.063935,-0.966583,8.795290,-3.985693,0.263191,9.659822
26.785000,0.053968,-0.141265,-0.059278,0.162426,-0.830014,-0.086824,-1.103914,8.058959,-3.985693,-5.808239,10.703654
26.919001,-0.004693,-0.019753,-0.089207,0.091488,-0.852903,-0.224155,-1.294652,8.795290,-4.205261,-10.144974,14.069891
27.052999,0.084496,-0.140068,-0.028152,0.165985,-0.845273,-0.109712,-1.119173,6.954463,-4.205261,-9.277626,12.333820
27.187000,-0.032228,-0.014965,-0.090404,0.097136,-0.845273,-0.155490,-1.271763,8.611207,-3.217205,-13.180688,16.069656
27.322001,0.088686,-0.116125,-0.040722,0.151685,-0.692683,-0.163119,-1.225986,7.874876,-4.315045,-12.313341,15.239805
27.455999,-0.007686,-0.039506,-0.111953,0.118968,-0.906310,-0.102083,-1.073396,8.979372,-2.997637,-6.241912,11.339154
27.681000,0.013265,-0.092780,-0.086214,0.127346,-0.868162,-0.124971,-1.142061,8.058959,-3.326989,-11.012321,14.045885
27.815001,0.019250,-0.071830,-0.089806,0.116598,-0.730831,-0.079194,-1.309911,8.243042,-3.436773,-11.445993,14.517918
27.948999,0.060553,-0.097569,-0.061672,0.130345,-0.883421,-0.117342,-1.096284,7.690794,-3.766125,-10.144974,13.276011
28.083000,0.011469,-0.041901,-0.099982,0.109012,-0.761349,-0.155490,-1.279393,9.163454,-3.326989,-11.879668,15.367637
28.216999,0.064144,-0.111336,-0.046109,0.136515,-0.799496,-0.117342,-1.195468,9.163454,-3.107421,-7.542933,12.268692
28.351000,-0.006489,-0.046689,-0.086214,0.098259,-0.761349,-0.094453,-1.241245,8.979372,-4.315045,-8.843953,13.321570
28.576000,-0.011277,-0.047288,-0.108362,0.118767,-0.860532,-0.124971,-1.195468,8.795290,-4.424829,-11.879668,15.429282
28.709999,0.050377,-0.097569,-0.043116,0.117968,-0.738460,-0.178378,-1.309911,7.138546,-4.315045,-13.180688,15.598365
28.844000,0.013265,-0.057464,-0.086214,0.104455,-0.852903,-0.079194,-1.180209,9.531620,-3.766125,-7.542933,12.725224
28.979000,0.039602,-0.082604,-0.067060,0.113529,-0.730831,-0.147860,-1.302281,8.795290,-4.205261,-12.747015,16.047670
29.113001,0.055764,-0.077217,-0.016180,0.096612,-0.883421,-0.109712,-1.172579,7.690794,-3.766125,-11.879668,14.644403
29.247000,0.019849,-0.073027,-0.062271,0.098003,-0.753719,-0.094453,-1.287022,10.083868,-4.534613,-5.374565,12.293618
29.472000,-0.373419,-0.143659,1.793928,1.838004,-1.089418,-1.109178,3.588235,7.690794,-4.205261,-11.879668,14.763436
29.606001,-0.117226,-0.265171,0.159802,0.331051,-0.379873,-0.140230,-1.340429,9.899785,-4.205261,-4.073545,11.501466
29.740000,0.029426,-0.086196,-0.014983,0.092304,-0.868162,-0.216526,-1.264134,8.427124,-5.522670,-4.940892,11.221797
29.874001,0.094672,-0.083801,-0.052694,0.136974,-0.639277,-0.063935,-1.180209,10.083868,-4.754181,-7.976606,13.708132
30.007999,-0.042403,-0.044295,-0.000617,0.061323,-0.959716,-0.140230,-1.225986,8.427124,-3.546557,-7.542933,11.852861
30.142000,0.031821,-0.058661,0.002974,0.066802,-0.723201,-0.048676,-1.172579,8.611207,-4.973750,-6.241912,11.741062
30.368000,0.066538,-0.028133,-0.031743,0.078908,-0.776608,-0.071565,-1.164950,8.979372,-4.534613,-11.445993,15.238195
30.502001,0.025835,-0.099963,-0.016180,0.104508,-0.753719,-0.124971,-1.294652,9.715703,-4.973750,-8.843953,14.048080
30.636000,0.055764,-0.035316,-0.077834,0.102054,-0.875791,-0.163119,-1.218356,7.874876,-4.534613,-8.843953,12.680375
30.770000,0.041997,-0.102357,-0.084419,0.139166,-0.715572,-0.033417,-1.126802,8.427124,-3.985693,-5.808239,10.983524
30.905001,0.024039,-0.054471,-0.101179,0.117397,-0.891051,-0.208896,-1.233616,8.243042,-4.095477,-8.843953,12.764646
