"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (lbf)","Torque (lbf⋅ft)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"0.30188520000039","1000","0","0.001264522243353042","0.00009294784163053952","23.652673999439","-0.00059558517388226","0.014087181956736286","0","0","",""
"9.1016304000004","1150","889.0000000000045","0.1425892943644593","0.012079844111918142","23.649375095545","0.21289623862204","5.034863003603278","1.5247304992090749","30.283455540257552","42.41891665507638","12.84591376589896"
"13.2289588","1200","1439.9999999999995","0.3861476864893812","0.0313191180826748","23.643276747053","0.5634082741203","13.320817746605753","6.403272925988812","48.06966845275257","27.353768347721587","13.148865754083745"
"17.3841706","1250","2036.000000000026","0.8500179428708546","0.06660711502863834","23.630068012139","1.3305985921846","31.4421352301785","19.254329241093675","61.2373463193211","20.024673330423173","12.262578556663968"
"21.5297128","1300","2675.000000000001","1.4922924349645648","0.1130923938145722","23.605731811393","2.6955665826592","63.63082183000619","42.95237473752708","67.5024673613003","15.759139429309673","10.63780794969157"
"25.6533492","1350","3290.9999999999973","2.284920036571914","0.17391487757055019","23.565797685963","4.9312307046804","116.20838512930705","81.26332992823865","69.92897271381541","12.753874294400395","8.918653275285571"
"29.8022222","1400","3821.0000000000005","3.0137119430444406","0.22456341465160312","23.518529643166","7.256587164506","170.66426033665226","121.82769795878913","71.38442326382328","11.220738515515981","8.009859475242768"
"33.9548192","1450","4313.999999999979","4.1315255683399075","0.30771568084637346","23.445566011054","11.136793150663","261.10841896532344","188.4776097701115","72.18365861850756","9.942976656721568","7.177204326405793"
"38.0772588","1500","4759.999999999995","5.021104062409895","0.3649351797587654","23.368713420158","14.73889741948","344.42906992493437","246.6338491401062","71.60657176638956","9.23447653120527","6.612492064567904"
"42.2035966","1550","5242.000000000034","5.978413897219828","0.44133466191897003","23.265840233015","19.803970799097","460.7560205910852","328.46950133758486","71.28924781410446","8.255752565879355","5.885463905609019"
"46.3795926","1600","5698.99999999999","7.290023091334435","0.5230804753029432","23.138096716112","26.090773979798","603.6908517427845","423.25019166416314","70.11042000094744","7.8126340317806235","5.477470532818349"
